Instance ID,Name,Type,Image,State
i-01fbfbe40595e246d,ec2-created-by-python,t3.micro,ami-0984f4b9e98be44bf,stopped
i-08cdca2b057f3e26c,ec2-created-by-python-11/26/2024,t3.micro,ami-0984f4b9e98be44bf,stopped
